year_label,year,rank,institution_name,city,state,intl_students_total
2006/07,2006,14,Arizona State University - Tempe,Tempe,AZ,4062
2006/07,2006,15,Indiana University - Bloomington,Bloomington,IN,3976
2006/07,2006,16,Michigan State University,East Lansing,MI,3968
2006/07,2006,17,University of Florida,Gainesville,FL,3921
2006/07,2006,18,Texas A&M University - College Station,College Station,TX,3857
2006/07,2006,19,University of Wisconsin - Madison,Madison,WI,3829
2006/07,2006,20,Stanford University,Stanford,CA,3751
2006/07,2006,21,Cornell University,Ithaca,NY,3746
2006/07,2006,22,University of Minnesota - Twin Cities,Minneapolis,MN,3701
2006/07,2006,23,Pennsylvania State University - University Park,University Park,PA,3681
2006/07,2006,24,University of Maryland - College Park,College Park,MD,3476
2006/07,2006,25,Houston Community College System,Houston,TX,3378
2007/08,2007,1,University of Southern California,Los Angeles,CA,7189
2007/08,2007,2,New York University,New York,NY,6404
2007/08,2007,3,Columbia University,New York,NY,6297
2007/08,2007,4,University of Illinois - Urbana-Champaign,Champaign,IL,5933
2007/08,2007,5,Purdue University - West Lafayette,West Lafayette,IN,5772
2007/08,2007,6,University of Michigan - Ann Arbor,Ann Arbor,MI,5748
2007/08,2007,7,University of California - Los Angeles,Los Angeles,CA,5557
2007/08,2007,8,University of Texas - Austin,Austin,TX,5550
2007/08,2007,9,Harvard University,Cambridge,MA,4948
2007/08,2007,10,Boston University,Boston,MA,4789
2007/08,2007,11,University of Pennsylvania,Philadelphia,PA,4610
2007/08,2007,12,SUNY University at Buffalo,Buffalo,NY,4363
2007/08,2007,13,Indiana University - Bloomington,Bloomington,IN,4287
2007/08,2007,14,Ohio State University - Columbus,Columbus,OH,4259
2007/08,2007,15,Michigan State University,East Lansing,MI,4244
2007/08,2007,16,University of Florida,Gainesville,FL,4228
2007/08,2007,17,Texas A&M University - College Station,College Station,TX,4094
2007/08,2007,18,Arizona State University - Tempe,Tempe,AZ,3979
2007/08,2007,19,Cornell University,Ithaca,NY,3928
2007/08,2007,20,University of Wisconsin - Madison,Madison,WI,3910
